Communication_link,Power_save_mechanism,Generated_traffic,Transport_protocol,Packets_per_second,Sta_count,Uplink_delay,Downlink_delay,Uplink_pcktloss,Downlink_pcktloss,Uplink_thrpt,Downlink_thrpt,sta_nrg,ap_nrg,sta_overhead,ap_overhead
Duplex,Mix,Full Buffer,TCP,50.0,3,18.687,57.449,0.181902,0.0566313,16.5101,16.4614,125.469,463.083,7.06852,26.5854
Duplex,Mix,Periodic,UDP,30.0,2,447.533,1.514,91.6426,2.00492,8.06757,5.58375,90.9919,419.097,7.69187,23.2766
Down Link,Mix,Poisson,UDP,40.0,1,0.0,7.843,0.0,,0.0,11.0635,69.6856,423.539,7.9064,17.8004
Duplex,Mix,Full Buffer,TCP,10.0,1,9.193,19.05,0.247729,0.00377829,10.2311,29.8355,75.3205,420.932,3.8551,11.1291
Duplex,Mix,Full Buffer,TCP,10.0,1,6.262,20.557,0.184435,0.00691149,8.88852,36.6116,73.3323,420.757,3.77118,10.889
Down Link,Mix,Full Buffer,TCP,20.0,1,0.0,9.797,0.0,,0.0,32.0366,87.4359,439.019,7.91665,19.898
Down Link,Mix,Poisson,TCP,30.0,2,0.0,17.4825,0.0,,0.0,3.03239,69.2274,421.417,6.54195,23.1044
Up Link,Mix,Periodic,TCP,10.0,3,30.8887,0.0,,0.0,4.51145,0.0,90.656,425.056,11.4116,48.8539
Duplex,Mix,Poisson,UDP,30.0,1,17.129,204.025,1.5542,0.00604438,16.4778,11.1017,91.5871,426.263,7.13531,18.6012
Up Link,Mix,Periodic,UDP,50.0,1,8.194,0.0,,0.0,16.0341,0.0,81.3736,417.415,4.27008,13.7703
Duplex,Mix,Periodic,UDP,50.0,2,2174.46,1299.68,42.7232,23.2132,6.29987,3.94558,96.8008,424.581,10.2945,30.1347
Duplex,Mix,Poisson,UDP,10.0,3,1790.26,828.255,29.9451,18.19,5.37439,3.30346,106.192,431.746,14.1216,46.9201
Up Link,Mix,Poisson,UDP,10.0,5,2.9422,0.0,,0.0,3.82664,0.0,85.037,422.204,6.90147,36.626
Duplex,Mix,Full Buffer,TCP,30.0,3,13.809,58.331,0.178641,0.0661741,16.7743,16.7991,126.432,462.42,7.33119,26.4569
Up Link,Mix,Poisson,UDP,10.0,3,2.56433,0.0,,0.0,6.46392,0.0,90.0791,422.34,7.8559,37.1502
Up Link,Mix,Poisson,TCP,50.0,5,83.6534,0.0,,0.0,2.189,0.0,90.4916,422.99,9.15395,41.9884
Duplex,Mix,Full Buffer,UDP,30.0,1,3970.72,1325.89,99.8757,85.1372,35.2051,5.71905,111.72,424.723,4.48643,13.3871
Down Link,Mix,Full Buffer,UDP,40.0,3,0.0,632.058,0.0,,0.0,29.6359,111.506,485.04,12.8483,38.5512
Duplex,Mix,Full Buffer,TCP,20.0,3,9.49733,45.4197,0.116593,0.0164199,14.5467,23.6504,109.741,456.131,5.23695,24.992
Up Link,Mix,Poisson,UDP,20.0,2,3.723,0.0,,0.0,8.49438,0.0,83.6159,420.514,5.85567,29.0474
Up Link,Mix,Poisson,TCP,10.0,4,38.1292,0.0,,0.0,3.11493,0.0,92.4495,424.279,10.3923,46.3684
Duplex,Mix,Periodic,UDP,20.0,2,2226.95,1227.72,43.3987,24.2545,6.67361,4.17261,95.8024,424.98,9.87346,29.4056
Down Link,Mix,Full Buffer,TCP,50.0,2,0.0,19.362,0.0,,0.0,42.3519,78.7393,422.561,2.54066,14.0909
Up Link,Mix,Full Buffer,TCP,10.0,1,6.267,0.0,,0.0,16.9863,0.0,74.469,416.72,3.25298,9.88346
Up Link,Mix,Full Buffer,TCP,30.0,4,75.3462,0.0,,0.0,15.0458,0.0,115.914,435.593,14.261,67.1896
Duplex,Mix,Periodic,TCP,30.0,4,34.5112,64.09,1.14746,0.0321383,3.25537,2.00703,95.4927,435.369,13.0351,56.9085
Duplex,Mix,Full Buffer,UDP,10.0,5,2272.17,1679.89,101.588,51.0442,24.0303,5.00557,123.371,431.464,4.80747,22.8091
Up Link,Mix,Full Buffer,TCP,40.0,3,10.4123,0.0,,0.0,25.8365,0.0,121.193,435.124,9.26515,50.3225
Duplex,Mix,Periodic,UDP,10.0,1,18.71,154.874,2.49134,0.000746269,18.9133,12.3007,95.6407,427.313,6.69795,17.7176
Duplex,Mix,Periodic,UDP,40.0,2,2154.74,1189.38,42.9448,23.9614,6.32481,4.03869,96.3134,424.665,9.94013,29.7868
Up Link,Mix,Poisson,TCP,40.0,4,53.085,0.0,,0.0,3.35039,0.0,93.3265,424.205,10.5417,45.2211
Down Link,Mix,Poisson,UDP,30.0,3,0.0,927.752,0.0,,0.0,3.11207,107.056,425.08,12.0809,34.4104
Duplex,Mix,Full Buffer,TCP,20.0,4,29.7682,69.3838,1.97527,0.0101157,1.73469,10.56,79.5435,422.116,4.07699,22.2068
Duplex,Mix,Poisson,UDP,10.0,1,18.575,425.331,2.50828,0.00150377,18.9354,12.114,96.1803,427.54,7.16932,19.1564
Duplex,Mix,Full Buffer,UDP,50.0,5,2952.53,1575.03,101.52,58.0586,23.2151,5.41016,111.091,431.929,4.33107,32.5353
Duplex,Mix,Periodic,TCP,50.0,2,50.761,74.9105,0.759568,0.0402602,4.49923,2.95576,81.6917,423.561,7.81326,24.8573
Up Link,Mix,Periodic,TCP,20.0,4,82.3665,0.0,,0.0,3.45155,0.0,95.708,424.28,10.7844,45.6024
Duplex,Mix,Poisson,TCP,30.0,4,29.0203,38.2245,0.954422,0.0239194,3.18534,2.14618,94.9487,435.115,12.4382,55.6532
Up Link,Mix,Poisson,TCP,50.0,4,83.9025,0.0,,0.0,3.288,0.0,94.6598,424.013,10.6638,44.8501
Up Link,Mix,Periodic,UDP,50.0,4,3.57075,0.0,,0.0,4.00809,0.0,83.5111,420.476,5.91652,29.5838
Down Link,Mix,Poisson,TCP,40.0,2,0.0,19.964,0.0,,0.0,2.9481,68.7279,420.684,6.1888,19.8062
Down Link,Mix,Poisson,TCP,40.0,1,0.0,8.323,0.0,,0.0,10.1535,70.5692,423.392,6.85682,17.3559
Duplex,Mix,Periodic,UDP,40.0,2,2171.78,1267.49,43.3084,23.4739,6.37375,3.96966,95.3508,424.683,9.37488,27.925
Duplex,Mix,Poisson,TCP,50.0,2,136.864,63.6005,0.535787,0.040927,4.2581,2.99133,80.8274,423.65,7.99141,25.563
Duplex,Mix,Full Buffer,TCP,20.0,4,23.6578,54.6808,0.133495,0.00426125,11.5109,18.3658,108.144,458.876,6.04239,29.3108
Duplex,Mix,Periodic,UDP,20.0,2,2213.22,1143.4,42.9015,24.5283,6.63123,4.23204,96.6646,425.144,10.423,30.5937
Up Link,Mix,Poisson,TCP,10.0,1,2.015,0.0,,0.0,3.8233,0.0,65.3041,416.036,5.0614,14.0792
Up Link,Mix,Full Buffer,TCP,40.0,3,9.81967,0.0,,0.0,25.7427,0.0,121.685,435.4,9.95752,52.1681
Duplex,Mix,Periodic,TCP,50.0,2,72.4305,58.618,0.541755,0.0208474,4.48319,2.90966,82.2312,423.809,8.36836,26.8791
Duplex,Mix,Full Buffer,TCP,20.0,5,41.7986,84.0772,3.65081,0.00719114,1.06188,7.12872,78.6386,420.545,3.58015,13.6797
Up Link,Mix,Poisson,UDP,20.0,5,2.886,0.0,,0.0,3.41947,0.0,83.4611,421.43,6.45273,33.8244
Down Link,Mix,Poisson,TCP,20.0,3,0.0,18.75,0.0,,0.0,2.76514,80.7491,425.935,9.74817,36.9075
Down Link,Mix,Periodic,TCP,10.0,2,0.0,20.7695,0.0,,0.0,3.53828,71.1063,421.963,6.82943,21.8229
Down Link,Mix,Poisson,UDP,40.0,2,0.0,1038.21,0.0,,0.0,4.04607,88.186,421.805,9.13765,25.3262
Duplex,Mix,Full Buffer,TCP,40.0,2,44.8005,49.551,0.195705,0.0322909,3.72481,12.043,70.87,420.786,3.97295,12.3085
Down Link,Mix,Poisson,UDP,20.0,2,0.0,1122.34,0.0,,0.0,4.30929,88.1766,422.233,9.29325,25.6265
Duplex,Mix,Full Buffer,UDP,30.0,3,2393.26,1522.39,101.592,55.1883,34.7641,6.1897,128.55,431.7,4.90036,30.967
Duplex,Mix,Full Buffer,TCP,10.0,3,8.69133,44.5647,0.130446,0.00631821,14.216,24.2559,110.651,456.319,5.4222,24.9594
Down Link,Mix,Poisson,UDP,30.0,4,0.0,997.091,0.0,,0.0,2.45213,104.047,425.321,10.3594,33.4441
Duplex,Mix,Periodic,UDP,30.0,4,812.622,782.816,19.7525,19.0138,3.69855,2.44786,100.922,430.169,12.3381,44.4303
Up Link,Mix,Poisson,TCP,20.0,4,89.8255,0.0,,0.0,3.34174,0.0,96.7029,424.302,11.0249,46.2577
Down Link,Mix,Poisson,UDP,10.0,4,0.0,977.559,0.0,,0.0,2.6044,103.21,425.917,10.8173,35.0031
Up Link,Mix,Periodic,TCP,10.0,5,66.6394,0.0,,0.0,2.5494,0.0,92.8782,424.308,10.1747,47.5168
Duplex,Mix,Periodic,UDP,20.0,1,20.41,135.913,1.99262,0.0,17.0124,11.0932,92.0004,426.114,6.64462,17.4478
Down Link,Mix,Periodic,TCP,20.0,3,0.0,20.969,0.0,,0.0,2.72895,80.6662,425.948,9.38506,37.3374
Up Link,Mix,Poisson,UDP,30.0,3,2.49233,0.0,,0.0,5.4312,0.0,86.211,421.101,6.85755,32.5709
Duplex,Mix,Poisson,TCP,50.0,4,49.4823,45.283,0.685356,0.0211217,3.24066,2.02049,94.9252,434.417,12.5157,55.2477
Duplex,Mix,Periodic,TCP,20.0,4,38.127,62.292,1.15111,0.0166389,2.31314,2.1597,87.3467,428.234,9.31345,42.2056
Up Link,Mix,Periodic,UDP,30.0,1,8.221,0.0,,0.0,16.4292,0.0,81.8343,417.469,4.28213,13.8232
Down Link,Mix,Periodic,UDP,30.0,4,0.0,919.814,0.0,,0.0,2.46859,103.987,425.141,10.1325,32.8693
Down Link,Mix,Full Buffer,UDP,40.0,1,0.0,611.19,0.0,,0.0,37.4697,84.2088,440.154,6.58021,15.4653
Up Link,Mix,Full Buffer,UDP,20.0,2,2983.43,0.0,,0.0,28.8083,0.0,94.482,419.612,3.07124,10.3584
Down Link,Mix,Full Buffer,UDP,20.0,3,0.0,793.938,0.0,,0.0,29.6755,111.63,485.078,13.0681,39.173
Down Link,Mix,Full Buffer,UDP,10.0,2,0.0,798.51,0.0,,0.0,19.2749,96.5362,442.988,7.63989,21.8223
Down Link,Mix,Poisson,TCP,10.0,2,0.0,25.0965,0.0,,0.0,3.4073,70.544,421.554,6.52989,21.1346
Duplex,Mix,Poisson,UDP,40.0,2,2010.59,1317.6,41.7016,25.414,6.14713,4.03817,96.0502,424.685,10.1483,29.7368
Duplex,Mix,Full Buffer,TCP,40.0,4,27.8397,76.734,0.244812,0.0576378,12.7162,11.6857,119.691,462.68,6.60269,26.5491
Up Link,Mix,Poisson,UDP,10.0,5,2.9636,0.0,,0.0,3.88609,0.0,85.0469,422.298,6.93285,36.9349
Duplex,Mix,Periodic,TCP,30.0,2,4.0365,4.323,0.353433,0.0110254,4.79377,5.59956,80.8204,424.356,7.29631,28.2966
Up Link,Mix,Full Buffer,TCP,30.0,1,5.043,0.0,,0.0,16.7421,0.0,73.7698,416.586,3.21798,9.79494
Down Link,Mix,Poisson,UDP,20.0,1,0.0,7.855,0.0,,0.0,10.9167,69.3363,423.244,7.68736,17.42
Duplex,Mix,Periodic,UDP,50.0,5,1301.52,1526.47,27.9149,30.1657,2.70869,1.82049,101.098,429.35,13.818,47.8473
Duplex,Mix,Poisson,UDP,40.0,3,1663.68,952.234,29.3047,18.2899,4.41038,3.00382,105.26,429.743,13.7545,44.6801
Down Link,Mix,Periodic,TCP,10.0,3,0.0,19.9817,0.0,,0.0,3.01766,82.503,427.089,10.58,40.5414
Up Link,Mix,Periodic,TCP,30.0,5,69.699,0.0,,0.0,2.23393,0.0,90.5685,423.118,9.2542,42.1786
Duplex,Mix,Poisson,UDP,30.0,4,809.243,670.281,19.6894,18.4239,3.80219,2.52368,100.6,431.307,12.3466,44.8054
Duplex,Mix,Periodic,UDP,40.0,5,1374.36,1487.51,28.2688,30.1643,2.71454,1.83477,106.107,429.527,13.5658,47.1476
Up Link,Mix,Periodic,TCP,50.0,5,118.334,0.0,,0.0,2.38432,0.0,101.496,423.96,12.2441,49.3323
Down Link,Mix,Periodic,UDP,10.0,4,0.0,800.658,0.0,,0.0,2.81082,103.542,426.628,11.0101,35.4276
Up Link,Mix,Full Buffer,TCP,50.0,4,39.9153,0.0,,0.0,14.9188,0.0,113.888,435.683,13.3227,67.5412
Up Link,Mix,Full Buffer,TCP,10.0,2,10.027,0.0,,0.0,8.55078,0.0,67.8418,416.737,2.18577,10.263
Up Link,Mix,Periodic,TCP,20.0,2,93.6605,0.0,,0.0,4.8262,0.0,76.8392,419.074,7.27892,23.5086
Down Link,Mix,Periodic,UDP,10.0,2,0.0,1019.69,0.0,,0.0,4.58345,88.8785,422.705,9.4922,25.8632
Up Link,Mix,Full Buffer,UDP,10.0,5,2709.24,0.0,,0.0,24.4793,0.0,111.939,429.711,4.37612,33.0403
Up Link,Mix,Full Buffer,UDP,40.0,2,2907.11,0.0,,0.0,29.5971,0.0,94.9988,419.695,3.08836,10.42
Up Link,Mix,Full Buffer,UDP,30.0,5,2691.18,0.0,,0.0,26.2529,0.0,111.989,429.704,4.35371,32.8602
Duplex,Mix,Full Buffer,UDP,20.0,2,3791.32,1831.71,101.391,88.1796,23.0757,14.4731,100.863,444.801,5.41965,142.28
Up Link,Mix,Periodic,TCP,50.0,5,95.8284,0.0,,0.0,2.37478,0.0,100.412,423.878,11.9783,48.3726
Duplex,Mix,Poisson,TCP,30.0,2,96.3385,63.981,0.615153,0.0109344,4.62723,3.00169,81.4783,423.893,8.21339,26.0033
Up Link,Mix,Full Buffer,TCP,30.0,2,18.832,0.0,,0.0,6.85453,0.0,70.1195,416.893,3.52392,11.2398
Up Link,Mix,Periodic,UDP,20.0,2,3.7135,0.0,,0.0,8.51188,0.0,84.354,420.505,5.9593,29.0466
Duplex,Mix,Periodic,TCP,10.0,3,153.131,48.976,0.152507,0.0263006,2.91226,2.88999,94.9651,431.416,15.351,64.0273
Up Link,Mix,Poisson,UDP,30.0,2,3.7875,0.0,,0.0,8.36186,0.0,82.9396,420.279,6.10283,28.1398
Duplex,Mix,Full Buffer,TCP,50.0,2,36.566,45.906,0.107079,0.0271451,3.46673,12.1634,68.8443,420.138,2.72267,11.7369
Down Link,Mix,Full Buffer,TCP,30.0,5,0.0,47.9676,0.0,,0.0,15.6603,84.6857,452.902,5.63951,30.8292
Down Link,Mix,Periodic,TCP,20.0,2,0.0,25.228,0.0,,0.0,3.20719,70.1465,421.397,6.73352,21.2784
Up Link,Mix,Full Buffer,TCP,30.0,1,5.749,0.0,,0.0,16.8014,0.0,74.1641,416.639,3.21778,9.82635
Up Link,Mix,Periodic,TCP,10.0,1,4.154,0.0,,0.0,4.51446,0.0,66.0198,416.114,4.96617,13.9023
Up Link,Mix,Poisson,UDP,50.0,5,2.9736,0.0,,0.0,3.24515,0.0,82.457,421.052,6.11457,32.415
Up Link,Mix,Poisson,TCP,20.0,1,6.256,0.0,,0.0,5.26489,0.0,67.4846,416.318,4.97625,13.9453
Down Link,Mix,Full Buffer,UDP,30.0,2,0.0,776.376,0.0,,0.0,19.1397,96.0281,442.573,7.64477,21.8658
Down Link,Mix,Full Buffer,UDP,30.0,2,0.0,754.418,0.0,,0.0,19.2943,96.0876,442.871,7.75445,22.1518
Duplex,Mix,Full Buffer,TCP,10.0,4,33.3937,74.2262,0.12687,0.0219078,12.4426,14.6152,115.053,462.19,6.49761,26.8994
Duplex,Mix,Periodic,TCP,10.0,1,4.748,7.783,0.59478,0.0,4.38991,11.9026,68.668,418.138,6.40221,16.7157
Up Link,Mix,Full Buffer,TCP,50.0,1,8.75,0.0,,0.0,20.02,0.0,80.7946,417.618,3.53778,10.5571
Up Link,Mix,Periodic,TCP,40.0,1,6.205,0.0,,0.0,4.74374,0.0,66.2045,416.04,4.62331,13.1061
Down Link,Mix,Full Buffer,UDP,10.0,3,0.0,614.683,0.0,,0.0,29.6532,111.55,485.131,12.8747,38.5791
Up Link,Mix,Poisson,TCP,10.0,2,3.981,0.0,,0.0,5.35398,0.0,74.9488,419.242,5.89955,23.6076
Duplex,Mix,Full Buffer,UDP,40.0,5,2407.85,1825.34,101.576,47.6429,27.2765,5.04282,136.624,430.847,4.11548,15.0236
Down Link,Mix,Full Buffer,UDP,50.0,3,0.0,1155.42,0.0,,0.0,41.2309,111.209,485.496,12.8007,38.3506
Down Link,Mix,Poisson,UDP,50.0,2,0.0,1145.79,0.0,,0.0,4.33513,88.7736,422.366,9.49423,26.0171
Down Link,Mix,Poisson,TCP,10.0,3,0.0,2.70667,0.0,,0.0,4.44901,82.0092,427.875,10.0081,42.0252
Down Link,Mix,Poisson,TCP,50.0,4,0.0,12.0845,0.0,,0.0,2.40059,78.5766,425.455,8.05546,34.5641
Down Link,Mix,Poisson,UDP,30.0,4,0.0,862.247,0.0,,0.0,2.42318,103.464,425.075,10.2345,33.0481
Up Link,Mix,Periodic,TCP,10.0,3,105.171,0.0,,0.0,4.69413,0.0,104.02,425.966,15.248,54.614
Down Link,Mix,Poisson,UDP,30.0,2,0.0,1117.78,0.0,,0.0,4.15306,88.5326,422.174,9.36467,25.6673
Up Link,Mix,Periodic,TCP,20.0,1,4.976,0.0,,0.0,3.96867,0.0,64.9862,415.854,4.54368,12.8952
Down Link,Mix,Periodic,UDP,50.0,3,0.0,1041.28,0.0,,0.0,3.01957,108.112,424.534,11.7585,33.4245
Up Link,Mix,Periodic,UDP,40.0,5,2.8896,0.0,,0.0,3.24103,0.0,83.0412,421.037,5.96664,32.3032
Duplex,Mix,Periodic,UDP,30.0,2,2207.89,1188.99,43.237,22.6888,6.58786,4.06933,96.022,424.85,9.94236,29.3841
Down Link,Mix,Periodic,UDP,50.0,3,0.0,1003.51,0.0,,0.0,3.01546,106.31,424.703,11.7677,33.4503
Duplex,Mix,Full Buffer,TCP,10.0,3,23.2473,52.9853,0.0919044,0.0459673,16.7867,19.8997,122.855,462.432,7.21556,26.7549
Duplex,Mix,Periodic,TCP,40.0,5,45.2324,38.988,1.10383,0.0252224,1.43589,1.81276,83.9332,426.077,8.28212,39.0145
Up Link,Mix,Periodic,TCP,10.0,5,110.553,0.0,,0.0,2.86188,0.0,104.827,427.643,16.4374,67.619
Down Link,Mix,Full Buffer,TCP,20.0,1,0.0,9.37,0.0,,0.0,29.8957,85.5155,437.227,7.56011,19.1517
Duplex,Mix,Periodic,TCP,20.0,1,7.682,6.518,0.969932,0.0,5.29835,10.6708,71.4034,419.163,6.89059,17.8323
Duplex,Mix,Periodic,TCP,10.0,3,22.4197,46.8217,0.636684,0.0241313,3.41669,2.89319,89.0857,430.041,11.4135,54.2778
Duplex,Mix,Periodic,UDP,10.0,1,17.032,118.153,1.40314,0.0196539,18.8788,12.4179,94.9846,427.125,6.75401,17.7754
Up Link,Mix,Poisson,UDP,40.0,3,2.5,0.0,,0.0,5.39733,0.0,85.8479,421.067,6.88616,32.5048
Duplex,Mix,Full Buffer,UDP,20.0,3,2362.38,1497.26,101.693,54.9024,40.1468,7.45192,127.63,431.622,4.04865,31.5085
Up Link,Mix,Full Buffer,UDP,20.0,3,2210.67,0.0,,0.0,36.4207,0.0,129.375,430.141,4.82792,30.8322
Up Link,Mix,Full Buffer,TCP,50.0,4,25.2742,0.0,,0.0,3.2547,0.0,80.6486,417.137,3.62292,13.5973
Duplex,Mix,Poisson,TCP,30.0,3,56.0423,58.7547,0.980225,0.0163022,3.89404,2.28772,97.7383,432.637,14.3386,58.1155
Duplex,Mix,Periodic,TCP,20.0,5,53.4402,79.7938,0.457929,0.028308,2.16583,1.51793,90.8211,432.85,11.4577,54.506
Down Link,Mix,Full Buffer,UDP,10.0,2,0.0,778.799,0.0,,0.0,19.0013,95.922,442.366,7.61078,21.7738
Down Link,Mix,Periodic,UDP,10.0,5,0.0,1450.56,0.0,,0.0,2.13361,110.826,426.526,12.7848,40.6512
Duplex,Mix,Full Buffer,TCP,20.0,1,5.996,18.422,0.200787,0.00446419,9.6649,38.8954,72.5946,419.786,3.6115,10.5699
Down Link,Mix,Periodic,TCP,30.0,2,0.0,21.7125,0.0,,0.0,3.1052,69.8299,421.166,6.50389,20.6631
Down Link,Mix,Full Buffer,TCP,50.0,1,0.0,9.73,0.0,,0.0,30.6639,86.2844,437.949,7.72838,19.5211
Up Link,Mix,Poisson,UDP,40.0,5,2.9282,0.0,,0.0,3.3246,0.0,82.7295,421.199,6.31845,33.0143
Down Link,Mix,Poisson,UDP,20.0,1,0.0,8.007,0.0,,0.0,10.9372,69.4512,423.373,7.6927,17.4227
Up Link,Mix,Full Buffer,TCP,50.0,1,6.125,0.0,,0.0,17.3216,0.0,75.0287,416.766,3.27232,9.92669
Down Link,Mix,Periodic,UDP,20.0,4,0.0,925.537,0.0,,0.0,2.5457,104.335,425.541,10.4834,33.8532
Down Link,Mix,Periodic,UDP,30.0,2,0.0,1215.4,0.0,,0.0,4.02495,87.8568,421.933,9.17594,25.3263
Up Link,Mix,Poisson,UDP,20.0,4,3.6485,0.0,,0.0,4.29527,0.0,84.2241,420.775,6.14752,30.4825
Duplex,Mix,Full Buffer,UDP,40.0,4,3471.79,2103.88,101.41,54.2293,28.0344,7.34683,120.776,432.044,4.24965,27.8015
Up Link,Mix,Poisson,TCP,40.0,5,76.3012,0.0,,0.0,2.28859,0.0,91.7214,423.457,9.85671,43.9069
Duplex,Mix,Full Buffer,UDP,10.0,5,2417.5,1649.17,101.563,47.4906,27.8779,5.06445,136.182,430.948,4.12695,15.0453
Duplex,Mix,Poisson,UDP,50.0,3,1406.33,751.308,28.9743,20.0795,4.44659,2.9405,105.145,429.325,13.4209,43.6543
Down Link,Mix,Periodic,TCP,40.0,5,0.0,33.7396,0.0,,0.0,1.96512,77.2103,422.433,6.73735,30.9996
Duplex,Mix,Full Buffer,UDP,30.0,1,3824.2,1329.18,99.7967,84.5566,36.3558,5.88563,113.589,424.962,4.47307,13.5601
Duplex,Mix,Poisson,TCP,30.0,5,63.0806,29.2098,0.880039,0.047391,1.28482,1.63404,81.1253,424.236,7.545,36.2285
Down Link,Mix,Periodic,UDP,20.0,4,0.0,889.49,0.0,,0.0,2.54041,104.459,425.596,10.5693,34.0513
Up Link,Mix,Poisson,TCP,40.0,3,60.1187,0.0,,0.0,3.95802,0.0,92.8737,424.245,11.3373,46.7248
Duplex,Mix,Poisson,TCP,10.0,2,137.448,34.5455,1.18667,0.0158009,5.51609,3.44154,82.9951,425.038,8.01454,25.6227
Up Link,Mix,Full Buffer,UDP,40.0,5,2746.81,0.0,,0.0,25.3291,0.0,112.359,429.746,4.29898,32.9366
Up Link,Mix,Full Buffer,UDP,40.0,2,3051.76,0.0,,0.0,28.6523,0.0,94.8368,419.626,3.05782,10.3124
Duplex,Mix,Periodic,UDP,10.0,1,18.524,145.992,2.38372,0.0135338,18.9131,12.3281,95.4063,427.412,6.77903,18.039
Duplex,Mix,Poisson,UDP,10.0,4,753.442,602.639,22.0196,17.7673,4.18635,2.79654,101.296,433.387,12.7624,46.8803
Up Link,Mix,Full Buffer,UDP,50.0,1,3095.11,0.0,,0.0,45.927,0.0,115.404,420.275,3.20311,10.3245
Down Link,Mix,Full Buffer,TCP,40.0,5,0.0,33.4844,0.0,,0.0,17.1853,88.6176,458.468,7.74807,41.7346
Up Link,Mix,Full Buffer,UDP,10.0,1,3094.68,0.0,,0.0,45.9438,0.0,115.391,420.272,3.20282,10.3236
Up Link,Mix,Poisson,TCP,50.0,1,7.059,0.0,,0.0,5.9559,0.0,68.6843,416.498,5.0511,14.0972
Down Link,Mix,Periodic,UDP,20.0,1,0.0,8.116,0.0,,0.0,11.3489,69.7132,423.633,7.75203,17.5279
Down Link,Mix,Full Buffer,TCP,30.0,5,0.0,40.458,0.0,,0.0,14.7079,90.599,461.542,7.89418,49.3109
Up Link,Mix,Poisson,UDP,30.0,1,8.264,0.0,,0.0,15.603,0.0,80.5166,417.283,4.14873,13.3923
Up Link,Mix,Periodic,UDP,10.0,2,3.7505,0.0,,0.0,9.45359,0.0,87.1798,421.17,7.20572,31.3948
Up Link,Mix,Poisson,TCP,20.0,4,56.0433,0.0,,0.0,3.30205,0.0,93.012,424.213,10.4336,45.5167
Up Link,Mix,Full Buffer,UDP,10.0,5,2612.69,0.0,,0.0,26.1296,0.0,112.285,429.834,4.40708,33.1887
Up Link,Mix,Full Buffer,TCP,40.0,3,11.3157,0.0,,0.0,25.6838,0.0,121.961,435.416,10.1879,52.459
Down Link,Mix,Poisson,UDP,30.0,3,0.0,1047.62,0.0,,0.0,3.18762,107.642,425.385,12.4138,35.1646
Duplex,Mix,Full Buffer,TCP,40.0,3,12.6287,42.3803,0.0860612,0.014484,16.5731,26.1899,119.587,462.612,6.53122,26.8401
Down Link,Mix,Poisson,TCP,10.0,4,0.0,28.3678,0.0,,0.0,2.58966,81.2201,427.984,9.36483,40.223
Down Link,Mix,Full Buffer,TCP,10.0,3,0.0,23.3877,0.0,,0.0,39.6658,95.8528,469.445,6.36262,30.8725
Up Link,Mix,Periodic,TCP,30.0,2,94.828,0.0,,0.0,4.86976,0.0,80.9926,419.64,8.28119,27.0786
Up Link,Mix,Periodic,UDP,30.0,1,8.223,0.0,,0.0,16.4773,0.0,81.821,417.468,4.28688,13.8385
Down Link,Mix,Periodic,UDP,50.0,4,0.0,922.282,0.0,,0.0,2.41342,103.612,423.972,9.47305,30.3656
Down Link,Mix,Poisson,TCP,30.0,5,0.0,43.7154,0.0,,0.0,1.49268,78.4999,424.34,7.48775,32.9138
Up Link,Mix,Full Buffer,UDP,30.0,1,3182.64,0.0,,0.0,44.6852,0.0,113.038,420.031,3.17635,10.2381
Up Link,Mix,Full Buffer,UDP,10.0,5,2655.11,0.0,,0.0,25.6295,0.0,112.222,429.736,4.39829,33.2036
Up Link,Mix,Poisson,TCP,40.0,2,60.714,0.0,,0.0,4.98751,0.0,77.8672,419.182,6.66014,24.1815
Up Link,Mix,Poisson,TCP,40.0,3,55.4663,0.0,,0.0,3.77236,0.0,91.6511,423.605,10.6999,44.011
Up Link,Mix,Periodic,UDP,30.0,5,2.8868,0.0,,0.0,3.28723,0.0,82.3054,421.109,6.08355,32.5619
Down Link,Mix,Periodic,TCP,50.0,4,0.0,20.0207,0.0,,0.0,2.37866,77.312,424.272,7.38349,31.5655
Down Link,Mix,Full Buffer,UDP,10.0,3,0.0,1121.44,0.0,,0.0,41.2708,111.189,485.584,12.5475,37.665
Down Link,Mix,Full Buffer,TCP,10.0,5,0.0,213.896,0.0,,0.0,7.61003,78.8071,426.356,3.84989,16.6843
Duplex,Mix,Periodic,UDP,30.0,3,1327.22,927.388,28.6282,18.1305,4.52816,3.02697,106.844,429.832,13.5545,44.6139
Duplex,Mix,Poisson,TCP,40.0,3,82.462,82.156,1.17189,0.00668038,3.62224,2.33503,96.2682,432.078,14.0594,57.4673
Down Link,Mix,Periodic,TCP,50.0,4,0.0,17.0425,0.0,,0.0,2.13458,79.6534,425.553,8.28373,34.9118
Duplex,Mix,Full Buffer,TCP,50.0,1,6.884,18.843,0.257998,0.00220707,9.48312,35.7558,73.3031,420.278,3.69274,10.7365
Duplex,Mix,Periodic,UDP,20.0,5,1328.53,1430.49,29.0867,30.317,2.83819,1.91548,103.083,429.938,14.0473,48.7685
Up Link,Mix,Full Buffer,UDP,10.0,3,2320.72,0.0,,0.0,36.4402,0.0,129.598,430.169,4.80848,30.8139
Duplex,Mix,Full Buffer,UDP,10.0,1,3828.68,1280.73,99.7886,84.5964,36.276,5.89425,113.528,424.917,4.46958,13.3941
